布団がふっ飛んだ,ふとん が ふっとんだ
トイレに行っといれ,といれ に いっといれ
アルミ缶の上にあるミカン,アルミかん の うえに ある みかん
電話に誰もでんわ,でんわ に だれも でんわ
カエルが帰る,かえる が かえる
内臓がないぞう,ないぞう が ないぞう
コーディネートはこうでねーと,コーディネートは こうでねーと
ハエははえー,ハエ は はえー,
ラクダは楽だ,らくだ は らくだ
イルカはいるか？,いるか は いるか
ネコが寝込んだ,ねこ が ねこんだ
僕さー、ボクサーなんだ,ぼくさー、ボクサーなんだ
お金はおっかねー,おかね は おっかねー
レモンのいれもん,れもん の いれもん
スキーが好きー,スキー が すきー
ねえねえ妖怪。何か用かい？,ねえねえ ようかい。なにか ようかい？
コンドルが地面にくいこんどる,コンドルが じめんに くいこんどる
父さんの会社が倒産,とうさん の かいしゃが とうさん
紅葉を見に行こうよう,こうよう を みに いこう よう
ラブレターがやぶれた,ラブレター が やぶれた
猿が去る,さる が さる
時計の問題を解けい,とけい の もんだい を とけい
このブドウ、ひと粒どう？,このブドウ、ひとつぶ どう？
予想をするのはよそう,よそう を するのは よそう
クエを食え！,クエ を くえ
カレンダーは彼んだー,カレンダー は かれ んだー
靴下を発掘した,くつしたを はっくつ した
ネギを値切る,ネギ を ねぎる
教師が今日、死んだ,きょうしが きょう しんだ
ウマが埋まった,うま が うまった
東京タワーがあるのは、東京だわー,とうきょうタワー が あるのは、とうきょう だわー
墓石を破壊した,はかいし を はかいした
シャベルが喋る,シャベルがしゃべる
トロイはとろい,トロイ は とろい
イランはいらん,イラン は いらん
ウランは売らん,ウラン は うらん
移管はイカン,いかん は いかん
妖怪に用かい？,ようかい に よう かい？
梅はうめー,うめ は うめー
仏像がぶつぞう,ぶつぞう が ぶつぞう
ナイスなイス,ナイスなイス
太陽に会いたいよう,たいよう に あいたいよう
土管がドカン,どかんがドカン
仏なんてほっとけ,ほとけ なんて ほっとけ
洋梨は用なし,ようなし は よう なし
魚の差かな？,さかな の さ かな？
イルカは居るか？,イルカはいるか？
イクラはいくら？,イクラはいくら？
パンダのパンだ,パンダのパンだ
カメを噛め,カメをかめ
ラクダは楽だ,ラクダ は らくだ
ミロを見ろ,ミロをみろ
入れ歯でいれば？,いれば で いれば？
カッターを買ったー,カッターをかったー
替え刃を買えば？,かえば を かえば？
ホテルで火照る,ホテルでほてる
冷やし中華は冷やし中か？,ひやし ちゅうか は ひやし ちゅう か？
コンドルの家はいつも混んどる,コンドルの いえは いつも こんどる
砂漠でサバ食う？,さばく で サバくう？
ミスターがミスったー,ミスターがミスったー
お菓子買ったらおかしかった,おかし かったら おかしかった
最大のサイだい,さいだい の サイ だい
カラスの脳は空っす,カラスの のうは カラっす
焼肉は焼きにくい,やきにく は やき にくい
ひき肉は挽きにくい,ひきにく は ひき にくい
肉が憎い,にく が にくい
鶏肉は取りにくい,とりにく は とり にくい
板前はそこにいたまえ,いたまえ は そこに いたまえ
肝臓がない。こりゃいかんぞう,かんぞう が ない。こりゃ いかん ぞう
母艦が爆発した。ボカン！,ぼかん が ばくはつ した。ボカン！
やけどをしたんやけど,やけどをしたんやけど
コンドルが食い込んどる,コンドル が くいこんどる
委員会に行かなくていいんかい？,いいんかい に いかなくて いいんかい？
ジャイアン死んじゃいやん,ジャイアン しんじゃ いやん
のび太が伸びた,のびた が のびた
# ドラえもんはドラーええもん持っている,ドラえもんは ドラー ええもん もっている
しずかちゃんしずかじゃん！,しずかちゃん しずか じゃん！
スネ夫がすねをける,スネお が すねを ける
銅像をどうぞー,どうぞう を どうぞー
カリーナを借りーな,カリーナ を かりーな
刀を買ったな？,かたな を かったな？
あったかいコーヒーはあったかい？,あったかいコーヒーは あったかい？
あんな肉あんなに食うか？,あんな にく あんなに くうか？
秋はあきた,あき は あきた
頭があったまる,あたま が あったまる
# 上履きが降って来た！うわ！バキッ！,うわばき が ふってきた！うわ！バキッ！
アリってあり？,アリってあり？
# あっしの足,あっし の あし
イカすイカ墨,イカす イカ すみ
石はおいしい,いし は おいしい
イタチの生い立ち,イタチ の おいたち
犬がいぬ,いぬ が いぬ
今、居間にいる,いま、いま に いる
今井君！今行く！,いまい くん！いま いく！
鵜がうがいする,う が うがいする
馬はウマい,うま は ウマい
# 英和辞典はええわー,えいわ じてん は ええわー
# おじさんを持参,おじさん を じさん
# 学生がくせえ,がくせい が くせえ
火星を貸せい,かせい を かせい
# カッパをかっぱらう,カッパをかっぱらう
# かねがね金がねえ,かねがね かねが ねえ
カバをかばう,カバ を かばう
体だからだ,からだ だからだ
カレーはかれー,カレーはかれー
漢字って感じ？,かんじ って かんじ？
北から来たから？,きた から きた から？
切手を切って,きって を きって
教会にいくのは今日かい？,きょうかい に いく のは きょう かい？
草が腐った,くさ が くさった
下駄を投げた,げた を なげた
車が来るまで待とう,くるまが くるまで まとう
カナリヤかなりヤバい,カナリヤかなりヤバい
コマが困った,コマがこまった
最近の細菌,さいきん の さいきん
サイは何歳？,サイ は なんさい？
サイはくさい,サイ は くさい
鹿しかいない,しか しか いない
竹刀しない？,しない しない？
シマウマになってしまうまで,シマウマ に なって しまう まで
ショウガがないとしょうがない,ショウガ が ないと しょうがない
# センスない扇子,センス ない せんす
ソ連のカミソリは剃れん,ソれん の カミソリ は それん
鯛たべたい,たい たべたい
タイに行きたい,タイ に いきたい
電話にでんわ,でんわ に でんわ
ドイツ人はどいつだ！？,ドイツ じん は どいつだ！？
動詞同士どうしよう,どうし どうし どうしよう
道場に同情,どうじょう に どうじょう
床屋にいくとこや,とこや に いく とこや
虎をとらえる,とら を とらえる
ナイターを見て泣いたー,ナイター を みて ないたー
ナイスなイス,ナイスなイス
内容がないよう,ないよう が ないよう
西にしなさい,にし に しなさい
忍者は何人じゃ？,にんじゃ は なんにん じゃ？
ネコが寝転ぶ,ネコ が ねころぶ
橋の端,はし の はし
箸の端,はし の はし
ハングライダーで一時間半ぐらいだー,ハングライダー で いちじかんはん ぐらいだー
豚がぶった,ぶた が ぶった
ブドウを一粒どう？,ブドウ を ひとつぶ どう？
ブドウの武道,ブドウ の ぶどう
# へちまがへっちまう,へちま が へっちまう
星がほしい,ほし が ほしい
ホットケーキはほっとけー,ホットケーキ は ほっとけー
本棚だな,ほんだな だな
枕で真っ暗,まくら で まっくら
# マジでまじい,マジ で まじい
虫は無視,むし は むし
# メガネをとったら目がねえ,メガネ を とったら めが ねえ
# 木星もくせえ,もくせい も くせえ
# 土星が驚いた。ドシェー！,どせい が おどろいた。ドシェー！
モグラはもぐらない,モグラ は もぐらない
モノレールにもう乗れる？,モノレール に もう のれる？
森に行くつもり,もり に いく つもり
シャレはやめなしゃれ,シャレ は やめな しゃれ
ダジャレを言ったのはだれじゃ？,ダジャレ を いった のは だれじゃ？
# 門を開けるもん,もん を あける もん
# 屋根はやーねー,やね は やーねー
ライターをひらいたー,ライター を ひらいたー
# 惑星はくせえ,わくせい は くせえ
わしはワシ,わし は ワシ
わたくしはタクシー,わたくし は タクシー
ワニが輪になる,ワニ が わになる
ワラを笑う,ワラ を わらう
大仏に、ほこりがだいぶつもった,だいぶつに、ほこり が だいぶ つもった
# 兵士もひげをソルジャー,へいし も ひげ を ソルジャー
胃が痛いと、私は言いたい,い が いたい と、わたし は いいたい
毛ガニを食べたケガ人,けガニ を たべた ケガにん
# 島根県人にしまねえ事した,しまね けん じん に しまねえ こと した
# 山形で射った矢曲がった,やまがた で いった や まがった
田から宝,た から たから
# もう引退してもいいんたい,もう いんたい しても いいん たい
フットバスで疲れを吹っ飛ばす,フットバス で つかれ を ふっとばす
# かぼちゃがボチャ！,かぼちゃ が ボチャ！
ハリケーンでは張り裂けん,ハリケーン では はり さけん
ショートケーキに消毒液,ショートケーキ に しょうどく えき
水曜は安いよ！,すいよう は やすいよ！
# チョコはどこにあんだよ?ショコラへんだよ!,チョコはどこにあんだよ?ショコラへんだよ!
ついたてが付いたでー,ついたて が ついた でー
# ひょうにであった。うっひょー,ひょう に であった。うっひょー
パジャマじゃ暑い。やっぱじゃま,パジャマ じゃ あつい。やっぱじゃま
この心電図はもう死んでんずか？,この しんでんず は もう しんでんずか？
アンタレスはあんたです,アンタレス は あんたです
でかい神社でジンジャーエール,でかい じんじゃ で ジンジャー エール
朝なのにバンダナ,あさなの に バンダナ
改装かい？そうかいそうかい,かいそう かい？そうかい そうかい
県予選では検尿せん！,けんよせん では けんにょう せん
目いいだけの名医,め いいだけ の めいい
